1318585538 1
1318587127 48
1318701210 1104
1318701284 1104
1318753938 1532
1318955080 1572
1318955126 1574
1318966005 1633
1318969544 1644
1319045980 1650
1319046010 1654
1319063849 1917
1319095764 1866
1319126452 2087
1319126661 2439
1319443554 2536
1319443891 4121
1319443919 4234
1319444136 4121
1319452894 4100
1319457595 4387
1319459143 4387
1319460242 4391
1319482912 4486
1319487974 4486
1319488259 4544
1319492747 4878
1319572994 4877
1319573124 4887
1319573158 4890
1319573236 4907
1319573461 4612
1319580632 4752
1319622338 4763
1319622740 4764
1319623402 4763
1319623613 4764
1319623634 4767
1319623675 4767
1319629452 4772
1319649384 4832
1319649504 4702
1319650154 4724
1319661467 4746
1319666429 4725
1319667196 4722
1319712081 4722
1319794465 4762
1319794571 4795
1319794576 4810
1319795015 4808
1319798872 4808
1319798899 4821
1319804525 4814
1319805565 4814
1319806885 9587
1319810565 9592
1319879144 10187
1319893413 10905
1319893851 11001
1319894262 11001
1319894265 11016
1319901120 11063
1319901295 11586
1319901714 11586
1319901724 11591
1319901733 11603
1319904641 11652
1319904647 11619
1319907686 11627
1319907732 11666
1319909157 11673
1319909177 11702
1319909271 11701
1319909316 11741
1319910252 11740
1319910255 11738
1319912294 11682
1319912306 11671
1319916147 11707
1319917994 11707
1319918120 11707
1319918137 11707
1319918195 11715
1319918218 11715
1319918383 11716
1319920723 11719
1319920727 11729
1319924271 11725
1319928653 11825
1319983284 11855
1319989394 11589
1320005893 11764
1320005900 11837
1320012685 11922
1320015153 11927
1320016449 11931
1320174876 12084
1320174949 12319
1320175242 12319
1320175266 12319
1320175422 12318
1320176853 12309
1320177131 12365
1320230690 12467
1320230700 48390
1320238405 48391
1320238430 48393
1320242457 48443
1320242537 48422
1320242787 48422
1320242847 48422
1320243217 48428
1320243225 48427
1320244326 48431
1320245678 48485
1320245686 48496
1320266834 48498
1320266841 48554
1320268337 48550
1320321001 48551
1320325187 48549
1320325253 48557
1320601384 48623
1320666731 48654
1320666738 48672
1320675198 48682
1320675206 48800
1320681539 49132
1320682183 49134
1320688719 49133
1320688731 49122
1320745943 49123
1320746011 49668
1320753192 49668
1320753197 49403
1320755970 49402
1320760103 49399
1320786380 49078
1320786385 49086
1320792646 49100
1320792651 49104
1320836291 49130
1320836298 49300
1320847973 49375
1320847987 49376
1320848670 49377
1320848678 49385
1320855213 49377
1320855224 49824
1320856825 49825
1320915329 49794
1320915361 49842
1320915382 50184
1320915452 50276
1320915512 50276
1320916501 50289
1320916900 50293
1320916917 50318
1320918400 50335
1320918786 50335
1320920581 50332
1320920616 50335
1320921339 50335
1320921358 50349
1320921363 50382
1321015062 50382
1321015114 50040
1321015159 50164
1321019428 50263
1321019449 111830
1321019456 111626
1321020133 111640
1321020146 111640
1321124190 111640
1321124242 111754
1321125212 111684
1321130782 111744
1321130966 50531
1321130970 50532
1321137058 50570
1321138619 50575
1321183419 50578
1321188256 50543
1321219083 50260
1321219087 50286
1321220583 50277
1321220592 50289
1321220992 50291
1321221043 50290
1321221684 50317
1321221692 50322
1321222299 50351
